faqTitle,Frequently Asked Questions
faqContent.0.title,What is Remitbee Online Money Transfer?
faqContent.0.text,"Remitbee is one of the most reputable and leading money transferring online companies in Canada. We are regarded as one of the best ways to transfer money from Canada to India. You can download Remitbee’s Money Transfer app on Google Play or Apple App stores. Once downloaded, you can immediately start using it to send money to India."
faqContent.1.title,How much I can send with Remitbee?
faqContent.1.text,"You can send money online up to $995 CAD per day when you sign up to Remitbee with your credentials. You can send money to India up to a maximum of $3000 CAD per day with a verified account! Please see compliance requirements regarding identity verification to verify your account. You can send a money transfer to India of up to $25,000 per calendar month, or any country that Remitbee provides service to. Some countries may have limits and if you’re planning to send large amounts, we recommend contacting the receiving account bank."
faqContent.2.title,What is Remitbee Online Money Transfer?
faqContent.2.text,"Remitbee is one of the most reputable and leading money transferring online companies in Canada. We are regarded as one of the best ways to transfer money from Canada to India. You can download Remitbee’s Money Transfer app on Google Play or Apple App stores. Once downloaded, you can immediately start using it to send money to India."
faqContent.3.title,What is the Remitbee Wallet?
faqContent.3.text,My Wallet is a unique process created by Remitbee to pay for your transfer. This method allows us to cut out the processing fees charged to us and pass on the savings to you. You can load your wallet with two methods which require you to log in to your bank and send us the funds through Interac E-transfer or bill payment. Instructions for setting up your transfer are provided on the review page. Select “My Wallet” then select method and the instructions will be shown with your own unique account number. It takes about 1-2 minutes from start to finish.
faqContent.4.title,How I can earn $50 inviting friends?
faqContent.4.text,"Start by referring 5 of your friends or family. Once 3 of those 5 have completed their first transfer, your $50 will be deposited to your Remitbee Wallet. Thereafter, every time 3 of your referees complete their first transfer, you will be continuously paid $50 to your Remitbee Wallet. There is no limit either!"
heroText,"තරඟකාරී අනුපාත, අඩු ගාස්තු සහ අද දක්වා වඩාත්ම විශ්වාසදායක මුදල් හුවමාරු වේදිකාව. Remitbee canada සොයා ගන්න"
rightSectionProps.0.countryIdSelected,103
info5ActionText,Send me the link
info5SmsSent,The link was sent to your phone.
info5Sendsms,ඔබගේ දුරකථනයෙන් ජංගම යෙදුම බාගත කිරීම සඳහා සබැඳිය යැවීමට අවශ්‍යද?
stepTitle,ඔබ Remittbee හරහා මුදල් එවිය යුත්තේ ඇයි? &
helpText,"රෙමිට්බී පාරිභෝගික සේවය පැකේජයේ අනිවාර්ය අංගයකි. අපි අපගේ සියලුම ගනුදෙනුකරුවන් ගැන බලාගන්නෙමු! ගාස්තු රහිත රෙමිට්බී පාරිභෝගික සේවා අංකය, විද්‍යුත් තැපෑල හෝ මාර්ගගත කතාබස් හරහා ඔබට විවිධ භාෂාවලින් අප වෙත ළඟා විය හැකිය. කිසියම් සැකයක්, විමසීම් හෝ ගැටළු තිබේද? අපි ඔබට උදව් කිරීමට සූදානම්."
info6Title,රෙමිට්බී හරහා මුදල් එවන්නේ කෙසේද?
info2Text,To provide you with the best money transfer service in Canada
info5Title,ජංගම අත්දැකීම
info6Content.0.title,"ඔබගේ , නොමිලේ ගිණුම සාදන්න."
info6Content.0.text,කැනඩාවෙන් සිට ලොව පුරා සිටින පවුලේ අයට සහ මිතුරන්ට මුදල් යැවීමට ඔබගේ සබැඳි මුදල් හුවමාරු ගිණුම සාදන්න සහ ඔබේ අනන්‍යතාවය සත්‍යාපනය කරන්න
info6Content.1.title,ඔබගේ අනන්‍යතාවය තහවුරු කරන්න
info6Content.1.text,රජයට අවශ්‍ය එක් වරක් අනන්‍යතා සත්‍යාපනය සම්පූර්ණ කර ගැටළු නොමැතිව මුදල් එවන්න.
info6Content.2.title,ඔබගේ ලබන්නාව එකතු කරන්න
info6Content.2.text,"ඔබට කෙලින්ම ඔබගේ ලබන්නාගේ බැංකු ගිණුමට යැවිය හැකිය! ඉන්දියාව, ශ්‍රී ලංකාව, පිලිපීනය සහ තවත් බොහෝ රටවල ලබන්නන්ට මුදල් යැවීමට රෙමිට්බී ඔබට ඉඩ සලසයි."
info6Content.3.title,ගෙවීම් ක්‍රමයක් තෝරන්න
info6Content.3.text,"ඔබ යෙදුම හෝ මාර්ගගත වෙබ් අඩවිය භාවිතා කළත්, ඔබට ඉන්ටරැක්, වීසා සහ මාස්ටර්කාඩ් හර සමඟ ගෙවිය හැකිය, නැතහොත් ඔබේ බැංකු ගිණුමෙන් කෙළින්ම ගෙවිය හැකිය."
info6Content.4.title,අපි ඉතිරි කොටස බලා ගනිමු
info6Content.4.text,"ඔච්චරයි.ඔබගේ ජාත්‍යන්තර මුදල් හුවමාරුව ගැන අපි බලා ගනිමු. අපගේ 100% මුදල් ආපසු ගෙවීමේ සහතිකය සමඟ, ඔබට අවසානයේ මූල්‍යමය මනසක් ලබා ගත හැකිය."
info3Text,"Everyone at Remitbee, from our friendly customer service team to the tech geniuses working behind the scenes, were once newcomers to Canada too. We’ve been in your shoes and trust us, we get it. Having a reliable online money transfer service is your lifeline to your family back home and it’s our pleasure to help."
info4Title,Remittbee ගනුදෙනුකරුවන් දහස් ගණනක් විශ්වාස කරයි
info3Title,සජීවී කතාබස් හරහා සම්බන්ධ වන්න
heroTitle1,Remitbee Online
info4Text,"රෙමිට්බී ආරක්ෂිතද? ඔව්! අපගේ ගනුදෙනුකරුවන් නිරන්තරයෙන් අපගේ සේවාවන් ගැන ආකර්ශනීය සහ සතුට පත්වේ. නමුත් ඒ සඳහා අපගේ වචනය පමණක් ගන්න එපා. ෆේස්බුක්, ගූගල් සහ ට්‍රස්ට්පිලොට් යන වෙබ් අඩවි වල අප ඉහළ ලකුණු සහ රෙමිට්බී සමාලෝචන සත්‍යාපනය කර ඇති අතර එය අපව ‘විශිෂ්ට’ ලෙස ඇගයීමට ලක්"
stepItems.0.image,/img/landing/feature-1.png
stepItems.0.title,කැනේඩියානුවන් විසින් මෙහෙයවනු ලැබේ
stepItems.0.text,"We are created, owned and operated by immigrants to Canada who make it their mission to help other Canadians send money back home."
stepItems.1.image,/img/landing/feature-2.png
stepItems.1.title,හොඳම විනිමය අනුපාත.
stepItems.1.text,The best CAD to INR exchange rates you’ll find. Cheaper than the banks and always the most competitive on the market.
stepItems.2.image,/img/landing/feature-3.png
stepItems.2.title,"වේගවත්, පහසු, කාර්යක්ෂම."
stepItems.2.text,Our entire platform and app are designed with your convenience in mind. Your money could be received in as little as a few hours!
stepItems.3.image,/img/landing/feature-4.png
stepItems.3.title,විස්මිත පාරිභෝගික සේවාවක්.
stepItems.3.text,"Our customer support team is always ready to help and assist our customers. Just give us a call, and we will take care of it."
stepItems.4.image,/img/landing/feature-5.png
stepItems.4.title,ගාස්තු නොමිලේ!
stepItems.4.text,Send over 500 CAD via the My Wallet option for fee-free transfers! Our fees are always as low as possible and are never hidden.
heroTitle2,ඉක්මන් මුදල් හුවමාරු සේවාව
info5Text,"ඔබගේ ගනුදෙනුකරුවන් සඳහා යන අතරමගදී නිර්මාණය කරන ලද රෙමිට්බී යෙදුමට ඔබගේ අයිෆෝන් හෝ ඇන්ඩ්‍රොයිඩ් උපාංගයට සංයුක්ත කර ඇති වෙබ් අඩවියෙන් ඔබ අපේක්ෂා කරන සියලුම ක්‍රියාකාරිත්වයන් ඇත! වේගය, කාර්යක්ෂමතාව සහ ආරක්ෂාව සඳහා නිර්මාණය කර ඇති අපගේ යෙදුම රෙමිට්බී භාවිතා කිරීමට හොඳම ක්‍රමයයි."
info2Title,අපි සියලුම ප්‍රධාන කැනේඩියානු බැංකු සමඟ වැඩ කරන්නෙමු.
seoCanonical,https://www.remitbee.com
helpTitle,පොඩි උදව්වක් අවශ්‍යද?
helpContent.0.image,/img/landing/faq_icon.svg
helpContent.0.label,උපකාරක මධ්‍යස්ථානයට පිවිසෙන්න
helpContent.0.imageAlt,Help centre icon
helpContent.0.link,/help
helpContent.1.image,/img/landing/livechat_icon.svg
helpContent.1.label,සජීවී කතාබස් හරහා සම්බන්ධ වන්න
helpContent.1.imageAlt,Online chat icon
helpContent.1.link,#
helpContent.2.image,/img/landing/livechat_icon.svg
helpContent.2.label,අපගේ පාරිභෝගික සේවය අමතන්න
helpContent.2.imageAlt,Customer service phone icon
helpContent.2.link,/help
seoTitle,Remitbee Online Money Transfer | Send money online
heroActionText,ඔබගේ නොමිලේ ගිණුම ලබා ගන්න
seoDescription,Stop overpaying banks sending your money online. With Remitbee you can transfer your money abroad with the best exchange rates and lowest fees.
